"Story","Title","Result","Date","Stability","Duration (s)"
"Store CURD test with steps","This will create a new store","SUCCESS","2022-06-06T23:14:24.553+01:00[Europe/London]","0.0","0.14"
"Store CURD test with steps","Verify if the store was added to the stock","SUCCESS","2022-06-06T23:14:24.694+01:00[Europe/London]","0.0","0.04"
"Store CURD test with steps","Update the store information and verify updated information","SUCCESS","2022-06-06T23:14:24.736+01:00[Europe/London]","0.0","0.11"
"Store CURD test with steps","Delete the store and verify if the store is deleted!","SUCCESS","2022-06-06T23:14:24.851+01:00[Europe/London]","0.0","0.25"
